,Unnamed: 0,speaker,dialogue,file,file_index,saha_page,saha_loc,hearing_type,location,file_num,date,split_dialogue,x,y,hdbscan_labels
321820,289419,UNKNOWN,Did Noah have offices other than his house?,../data/data_saha\amnesty_hearings\ermelo\52866.json,552,https://sabctrc.saha.org.za/documents/amntrans/ermelo/52866.htm,598,Amnesty Hearings,Ermelo,52866,1998-09-14,Did Noah have offices other than his house,10.44575,5.440279,-1
408085,365344,MOKOTEDI MPSHE,What was you knowledge about the position in Bophuthatswana?,../data/data_saha\amnesty_hearings\kimberley\54761.json,722,https://sabctrc.saha.org.za/documents/amntrans/kimberley/54761.htm,859,Amnesty Hearings,Kimberley,54761,1997-10-29,What was you knowledge about the position in Bophuthatswana,9.052027,6.4618764,1572
725268,616510,CAPT CLAYTON,Definitely not.,../data/data_saha\human_rights_violation_hearings\winelands\56133.json,41,https://sabctrc.saha.org.za/documents/hrvtrans/winelands/56133.htm,131,Human Rights Violation Hearings,Winelands,56133,1996-10-14,Definitely not,18.252571,6.205377,350
541278,484460,CHAIRPERSON,Unless of course grapevine in these hearings has a particular meaning that I'm not aware of.  I know that there's been talk of a microwave and the green beans ...(indistinct),../data/data_saha\amnesty_hearings\vanderbijlpark\53383.json,1022,https://sabctrc.saha.org.za/documents/amntrans/vanderbijlpark/53383.htm,1117,Amnesty Hearings,Vanderbijlpark,53383,1999-05-13,(indistinct),17.979317,11.784546,317
596566,528064,TESTIMONY_GIVER:,  I greet you also.,../data/data_saha\human_rights_violation_hearings\durban\56210.json,855,https://sabctrc.saha.org.za/documents/hrvtrans/durban/56210.htm,867,Human Rights Violation Hearings,Durban,56210,1996-08-30,  I greet you also,10.692535,9.051749,799
561932,503673,CHAIRPERSON,"Did you know with regard to this particular incident whether Kholile or Thabang, as he has been referred to in these proceedings, had undertaken such reconnaissance prior to him advising you of the target that had been selected?",../data/data_saha\amnesty_hearings\witbank\54007.json,433,https://sabctrc.saha.org.za/documents/amntrans/witbank/54007.htm,453,Amnesty Hearings,Witbank,54007,2000-01-31,"Did you know with regard to this particular incident whether Kholile or Thabang, as he has been referred to in these proceedings, had undertaken such reconnaissance prior to him advising you of the target that had been selected",10.172972,5.404824,-1
728480,618820,MR KARIEM,"It was an Essa Madikiri - we were at this persons house and  this person said that there were problems at Sohnge and some of the people at Sohnge wanted to boycott and others didn't want to boycott.
We then all decided that on the next day, the 20th August which was also the birthday of the UDF that we would all go there and that all three schools would march towards the Sohnge College.  That was the Worcester Secondary School as well as the Breede River Secondary School and they all came together at the third school and from there we marched with the various placards to the Sohnge College.
When we arrived at the Sohnge College  we deputised some people to meet  with the SRC of Sohnge College.  And while we were busy with this meeting we saw the Riot Squad arriving outside and they were all gathering around outside.  We immediately adjourned the meeting.  Sohnge SRC could not make a decision whether they were going to boycott or not so on that day when we came out of the meeting at Sohnge College, the officer in charge of the police at that time spoke to us over the bull horn - the loud hailer and then he told us that we only had 10 minutes to disperse and to return to our schools.
A few seconds later - not even 10 minutes later as we were granted, having refused to leave there he gave a signal with his finger, he just dropped his finger and then the first person who shot that day and that person is also in this hall today and I am going to mention his name and that is Captain Willis, he is a Captain today,  he has a rank, today he has stars on his shoulder and I got nowhere in life because of what they did.  
On that day he shot the first tear gas canister and they also shot with rubber bullets and we were all chased apart like wild animals.  They chased us from Sohnge College, most of the school children ran behind Sohnge College and if you go up to the old Sohnge College building, if you behind it, you'll see that there is a cemetery and we had to run there through the cemetery to escape from the police.
I ran into the New Hope Centre, which was a new building of theirs in Leopard Avenue, behind the school and most of the school children ran back to Esselen Park Secondary School.  We were about 3,000 schoolchildren who were at Sohnge College that day.  Our parents were standing outside when the boers -  the police started shooting on us.",../data/data_saha\human_rights_violation_hearings\worcester\56171.json,23,https://sabctrc.saha.org.za/documents/hrvtrans/worcester/56171.htm,33,Human Rights Violation Hearings,Worcester,56171,1996-06-24,"It was an Essa Madikiri - we were at this persons house and  this person said that there were problems at Sohnge and some of the people at Sohnge wanted to boycott and others didn't want to boycott
We then all decided that on the next day, the 20th August which was also the birthday of the UDF that we would all go there and that all three schools would march towards the Sohnge College  That was the Worcester Secondary School as well as the Breede River Secondary School and they all came together at the third school and from there we marched with the various placards to the Sohnge College
When we arrived at the Sohnge College  we deputised some people to meet  with the SRC of Sohnge College",9.5718775,5.5587463,1575
457002,407358,MR PHOSA,"Before I find out who they are, did you - do you know also of others when you were elsewhere - stationed elsewhere, who were even there considered for elimination for the same reasons?",../data/data_saha\amnesty_hearings\port_elizabeth\54795.json,560,https://sabctrc.saha.org.za/documents/amntrans/port_elizabeth/54795.htm,585,Amnesty Hearings,Port Elizabeth,54795,1997-09-24,"Before I find out who they are, did you - do you know also of others when you were elsewhere - stationed elsewhere, who were even there considered for elimination for the same reasons",11.299351,5.751862,-1
192329,173339,MR MALAN,Thank you.,../data/data_saha\amnesty_hearings\durban\53496.json,237,https://sabctrc.saha.org.za/documents/amntrans/durban/53496.htm,246,Amnesty Hearings,Durban,53496,1999-06-23,Thank you,31.417904,11.037109,19
615175,541433,MS MAYA,In which way?,../data/data_saha\human_rights_violation_hearings\grahamstown\55128.json,20,https://sabctrc.saha.org.za/documents/hrvtrans/grahamstown/55128.htm,23,Human Rights Violation Hearings,Grahamstown,55128,1997-04-08,In which way,15.166733,5.6491976,-1
421460,377297,MR HENDRICKSE,"Mr Chairman, it is clear that from this paragraph, the applicant made a choice.  He made a choice for himself and he decided on which side he is on.",../data/data_saha\amnesty_hearings\mmabatho\52878.json,20,https://sabctrc.saha.org.za/documents/amntrans/mmabatho/52878.htm,50,Amnesty Hearings,Mmabatho,52878,1998-09-23,"Mr Chairman, it is clear that from this paragraph, the applicant made a choice  He made a choice for himself and he decided on which side he is on",7.9578743,8.947082,-1
28405,25334,MPHITHIZELI NELSON NGO,"They were policemen. Mamone was a policeman, I was a policeman, Warrant-Officer Killian was a policeman, Motale was a policeman.",../data/data_saha\amnesty_hearings\bloemfontein\54606.json,60,https://sabctrc.saha.org.za/documents/amntrans/bloemfontein/54606.htm,66,Amnesty Hearings,Bloemfontein,54606,1997-05-15,"They were policemen Mamone was a policeman, I was a policeman, Warrant-Officer Killian was a policeman, Motale was a policeman",8.651086,4.8052707,1607
